acc_x,acc_y,acc_z
1.774158,-0.505192,9.964972
0.943344,0.418998,9.917087
0.591386,1.084607,9.902720
1.053481,1.697541,9.888355
0.105348,2.150059,9.960183
-0.318439,1.546702,9.878778
-1.596981,1.034327,9.835681
-2.928198,-0.217879,9.943423
-2.791724,-1.187560,9.921875
-1.699935,-1.764580,9.897932
-1.996825,-2.358361,9.998491
-1.137281,-3.215511,9.811738
-0.241822,-2.200339,10.142148
1.343188,0.936161,10.108628
3.282551,2.590605,9.881172
4.482082,2.528354,10.027223
1.568250,1.716695,9.955395
0.830813,0.615329,9.986520
-0.347170,0.407027,9.933846
-0.713494,0.337593,9.969760
-0.562655,0.462095,10.008069
-0.533923,0.541106,9.962578
-0.007183,0.179571,9.907509
-0.057463,0.217879,9.931452
0.112531,0.260976,9.914692
0.110137,0.268159,9.933846
0.117319,0.244216,9.924269
0.117319,0.253793,9.900327
0.110137,0.263370,9.885961
0.114925,0.251399,9.926663
0.107742,0.253793,9.924269
0.117319,0.256187,9.938635
0.112531,0.275342,9.897932
0.114925,0.244216,9.933846
